M. code,Material,Category,Sub Category,Location,UoM,Balance,Min Stock ,Reorder Point
20000020,Bottle 2 ltr white,Packaging,BOTTLE,Main Warehouse,Pc,71568,45000,54000
20000021,Bollte 2 ltr Natural,Packaging,BOTTLE,Main Warehouse,Pc,116648,40000,48000
20001383,Bottle HDPE White (Laban) 1.85 Ltr,Packaging,BOTTLE,Main Warehouse,Pc,65934,45000,54000
20001382,Bottle HDPE Natural 1.85 Ltr,Packaging,BOTTLE,Main Warehouse,Pc,69454,40000,48000
20000022,Bottle 200ml white ,Packaging,BOTTLE,Main Warehouse,Pc,0,380000,420000
20000023,Bottle 200ml natural,Packaging,BOTTLE,Main Warehouse,Pc,0,228000,252000
20000943,Pet bottle 1.5 natural clear milk,Packaging,BOTTLE,Main Warehouse,Pc,20988,25200,27000
20001088,Pet bottle 1.5 white,Packaging,BOTTLE,Main Warehouse,Pc,0,5600,6000
20001099,Pet bottle 200ml clear natural,Packaging,BOTTLE,Main Warehouse,Pc,219912,228000,252000
20001259,Pet bottle 200ml PET white ,Packaging,BOTTLE,Main Warehouse,Pc,407484,418000,462000
20000187,Pet bottle 1L milk FF,Packaging,BOTTLE,Main Warehouse,Pc,0,17600,18400
20000189,Pet bottle 1L milk LF,Packaging,BOTTLE,Main Warehouse,Pc,13608,9800,10200
20000199,Pet bottle 1L Laban FF,Packaging,BOTTLE,Main Warehouse,Pc,0,17600,18400
20000200,Pet bottle 1L Laban LF,Packaging,BOTTLE,Main Warehouse,Pc,0,9800,10200
20000973,Pet bottle 225ml straw. (Greek yog),Packaging,BOTTLE,Main Warehouse,Pc,36000,0,0
20000971,Pet bottle 225ml Mongo (Greek yog),Packaging,BOTTLE,Main Warehouse,Pc,36000,0,0
20000975,Pet bottle 225ml Plain (Greek yog),Packaging,BOTTLE,Main Warehouse,Pc,36000,0,0
20000977,Pet bottle 225ml laban peach (Greek yog),Packaging,BOTTLE,Main Warehouse,Pc,36000,0,0
20000976,Pet bottle 225ml laban straw. (Greek yog),Packaging,BOTTLE,Main Warehouse,Pc,36000,0,0
20000974,Pet bottle 225ml mix berry (Greek yog),Packaging,BOTTLE,Main Warehouse,Pc,36000,0,0
20000972,Pet bottle 225ml yog peach(Greek yog),Packaging,BOTTLE,Main Warehouse,Pc,36000,0,0
20000010,Fresh yoghurt cups FF 150gram,Packaging,CUPS,Main Warehouse,Pc,956000,960000,1040000
20000011,Fresh yoghurt cups LF 150gram,Packaging,CUPS,Main Warehouse,Pc,338000,144000,156000
20000001,Fresh yoghurt cups FF 170 gram,Packaging,CUPS,Main Warehouse,Pc,350000,1240000,1320000
20000002,Fresh yoghurt cups LF 170 gram,Packaging,CUPS,Main Warehouse,Pc,0,186000,198000
20000993,Greek yoghurt plain cup 150gram,Packaging,CUPS,Main Warehouse,Pc,86000,12000,13000
20000989,Greek yoghurt Mango cup 150gram,Packaging,CUPS,Main Warehouse,Pc,166000,12000,13000
20000991,Greek yoghurt Straw. cup 150gram,Packaging,CUPS,Main Warehouse,Pc,150000,12000,13000
20000990,Greek yoghurt peach cup 150gram,Packaging,CUPS,Main Warehouse,Pc,158000,12000,13000
20000992,Greek yoghurt mix berry cup 150gram,Packaging,CUPS,Main Warehouse,Pc,144000,7200,7800
20001072,Turkish labneh 500 gram tub,Packaging,CUPS,Main Warehouse,Pc,25660,6000,6500
20001073,Turkish labneh 500 gram lid,Packaging,CUPS,Main Warehouse,Pc,24840,6000,6500
20001074,Fresh labneh 500 gram tub,Packaging,CUPS,Main Warehouse,Pc,14040,12000,13000
20001075,Fresh labneh 500 gram lid,Packaging,CUPS,Main Warehouse,Pc,12960,12000,13000
20000000,Fresh labneh cup 200 gram,Packaging,CUPS,Main Warehouse,Pc,99750,4800,5200
20000156,Transparent lids for lebnah 200ml,Packaging,CUPS,Main Warehouse,Pc,99450,5600,6000
20000909,Lebnah 2.25 kg full cream tub,Packaging,CUPS,Main Warehouse,Pc,28188,0,0
20000006,Lebnah 1.5 kg tub,Packaging,CUPS,Main Warehouse,Pc,1200,0,0
20000910,Lebnah lids for 2.25kg,Packaging,CUPS,Main Warehouse,Pc,27600,0,0
20001145,Brown RSC. Carton 355x355x155mm,Packaging,CUPS,Main Warehouse,Pc,3150,3500,3700
20000888,Corrogated crtns for turkish style labneh 2.25kg,Packaging,CUPS,Main Warehouse,Pc,0,7000,7400
20001262,Rayan mozz. Cheese block 2.15kg brown cartoon,Packaging,CUPS,Main Warehouse,Pc,1070,0,0
20001130,RSC. Crtns. Turkish lebnah 2.25 kg 355x355x155,Packaging,CUPS,Main Warehouse,Pc,0,5250,5550
20000958,Lebnah plain 500 gram cup,Packaging,CUPS,Main Warehouse,Pc,56000,7000,7400
20000961,Lebnah plain 500 gram lid,Packaging,CUPS,Main Warehouse,Pc,56000,7000,7400
20001129,Cheese crtns 1KGX10 400x330x22,Packaging,CUPS,Main Warehouse,Pc,4290,7000,7400
20001128,Cheese crtns 500gramX10 400x330x22,Packaging,CUPS,Main Warehouse,Pc,2305,7000,7400
20001098,RSC. Cheese box 200gramx20(392x296x160),Packaging,CUPS,Main Warehouse,Pc,3040,5250,5550
20000905,Fresh cream normal 100gram cup ,Packaging,CUPS,Main Warehouse,Pc,174000,25200,26400
20000906,Fresh cream lite 100gram cup,Packaging,CUPS,Main Warehouse,Pc,45300,16800,17600
20000608,New lebnah tub and lids 1.5kg,Packaging,CUPS,Main Warehouse,Pc,9180,0,200
20000908,Lebnah 110 gram turkish style cup,Packaging,CUPS,Main Warehouse,Pc,64500,16800,17600
20000931,Transparent lids for cream 95.5mm,Packaging,CUPS,Main Warehouse,Pc,66990,33600,36000
20001122,Pnossed cheese 500gram normal tub & lid,Packaging,CUPS,Main Warehouse,Pc,480,0,0
20000182,Yoghurt pail 1kg ,Packaging,BUCKET (PR),Main Warehouse,Pc,20976,10500,11100
20000179,Yoghurt lid 1kg ,Packaging,BUCKET (PR),Main Warehouse,Pc,20976,10500,11100
20000181,Yoghurt pail 2KG,Packaging,BUCKET (PR),Main Warehouse,Pc,49968,35000,37000
20000178,Yoghurt lid 2KG,Packaging,BUCKET (PR),Main Warehouse,Pc,50784,35000,37000
20000842,Lebnah 1 kg plain Tub & lid,Packaging,BUCKET,Main Warehouse,Pc,7040,2000,2400
20000841,Lebnah 2 kg pail ,Packaging,BUCKET,Main Warehouse,Pc,25170,5000,6000
20000889,Lebnah 2 kg lid,Packaging,BUCKET,Main Warehouse,Pc,3324,5000,6000
20000884,Pail 5 kg for lebanh ,Packaging,BUCKET,Main Warehouse,Pc,3324,500,600
20000889,Lid 5 kg for lebnah ,Packaging,BUCKET,Main Warehouse,Pc,3324,500,600
20000410,Yoghurt 10 kg pail,Packaging,BUCKET,Main Warehouse,Pc,10560,10000,12000
20000411,Yoghurt 10 kg lid,Packaging,BUCKET,Main Warehouse,Pc,10560,10000,12000
20000800,10 kg square pail with lid ,Packaging,BUCKET,Main Warehouse,Pc,0,100,120
20001168,16 kgs square pail ,Packaging,BUCKET,Main Warehouse,Pc,6792,700,840
20001169,16 kgs square lid,Packaging,BUCKET,Main Warehouse,Pc,6794,700,840
20000009,Water cup PS Natural 180 gram,Packaging,BUCKET,Main Warehouse,Pc,152800,0,0
20000008,Kilnar pail with lid 750 gram,Packaging,BUCKET,Main Warehouse,Pc,1100,0,0
20001119,Cheese 200gram cup & lid,Packaging,BUCKET,Main Warehouse,Pc,46200,0,0
